OpenTelemetryについてどの程度ご存知ですか？,OpenTelemetryで収集するテレメトリーシグナルはどれですか？（該当するものをすべて選択してください）,どのコレクターディストリビューションを使用していますか？（該当するものすべてを選択してください）,仕事でどのプログラミング言語を使用していますか？（該当するものをすべて選択してください）,同僚にOpenTelemetryを推薦する可能性はどのくらいありますか？,OpenTelemetryを使用しない主な理由は何ですか？（該当するものをすべて選択してください） ,過去3年間、どのようなITコミュニティイベントに参加しましたか？（該当するものをすべて選択してください）,どのような形式のイベントが好きですか？,テクノロジー全般に関する情報は、普段どこから得ていますか？（該当するものをすべて選択してください）,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？
本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,Javascript/Typescript,9,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript, Python, Ruby",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
テスト中／評価中,"メトリクス, ログ, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Java, PHP, Python",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",はい
,,,,,,,,,
本番環境で使っている,"メトリクス, トレース",使っていない,Go,10,,"カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 実施するための時間・リソース不足, 安定性の懸念",カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Scala",8,,"カンファレンス, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Ruby",10,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"ブログ, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
,,,,,,,,,
聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Javascript/Typescript",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍, ChatGPT",はい
聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 技術的複雑性に関する懸念","カンファレンス, 技術ディーブダイブ",対面イベント,"公式ドキュメント, GitHub, Twitter/X, Zenn, 書籍, ChatGPT Pro Pulse",いいえ
本番環境で使っている,"メトリクス, ログ",Contribコレクター,"Go, Python",9,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ケーススタディプレゼンテーション",対面イベント,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,"トレース, プロファイル","コアコレクター, Contribコレクター","Go, Javascript/Typescript",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
OpenTelemetryについてはまったく詳しくありません,,,,,,,,,
本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Ruby",9,,ITコミュニティイベントには参加していない,対面イベント,"公式ドキュメント, GitHub, Zenn",いいえ
本番環境で使っている,"ログ, トレース",Contribコレクター,"Go, Javascript/Typescript, PHP",7,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,Python,10,,"カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,"メトリクス, ログ, トレース, プロファイル",使っていない,"Go, Java",9,,"カンファレンス, 初心者向けチュートリアル, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 書籍",いいえ
本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Javascript/Typescript, Python",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,ほとんど利用しない,9,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, slack",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,"Java, Python",10,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ",いいえ
聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,カンファレンス,対面イベント,"ブログ, Twitter/X",はい
テスト中／評価中,"ログ, トレース",使っていない,"Javascript/Typescript, Python",7,,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X",いいえ
